<<<<<LOSINGSTREAK>>>>>,0
Middle,WanderNEAction,0
Middle,WanderNWAction,0
Middle,WanderSEAction,0
Middle,WanderSWAction,0
Middle,AttackNEAction,0
Middle,AttackNWAction,0
Middle,AttackSEAction,0
Middle,AttackSWAction,0
Middle,TarNEAction,0
Middle,TarNWAction,0
Middle,TarSEAction,0
Middle,TarSWAction,-114800
NW Corner,WanderNEAction,0
NW Corner,WanderNWAction,0
NW Corner,WanderSEAction,0
NW Corner,WanderSWAction,0
NW Corner,AttackNEAction,0
NW Corner,AttackNWAction,0
NW Corner,AttackSEAction,0
NW Corner,AttackSWAction,0
NW Corner,TarNEAction,0
NW Corner,TarNWAction,0
NW Corner,TarSEAction,0
NW Corner,TarSWAction,0
NE Corner,WanderNEAction,0
NE Corner,WanderNWAction,0
NE Corner,WanderSEAction,0
NE Corner,WanderSWAction,0
NE Corner,AttackNEAction,0
NE Corner,AttackNWAction,0
NE Corner,AttackSEAction,0
NE Corner,AttackSWAction,0
NE Corner,TarNEAction,0
NE Corner,TarNWAction,0
NE Corner,TarSEAction,0
NE Corner,TarSWAction,0
SW Corner,WanderNEAction,0
SW Corner,WanderNWAction,0
SW Corner,WanderSEAction,0
SW Corner,WanderSWAction,0
SW Corner,AttackNEAction,0
SW Corner,AttackNWAction,0
SW Corner,AttackSEAction,0
SW Corner,AttackSWAction,0
SW Corner,TarNEAction,0
SW Corner,TarNWAction,0
SW Corner,TarSEAction,0
SW Corner,TarSWAction,0
SE Corner,WanderNEAction,0
SE Corner,WanderNWAction,0
SE Corner,WanderSEAction,0
SE Corner,WanderSWAction,0
SE Corner,AttackNEAction,0
SE Corner,AttackNWAction,0
SE Corner,AttackSEAction,0
SE Corner,AttackSWAction,0
SE Corner,TarNEAction,0
SE Corner,TarNWAction,0
SE Corner,TarSEAction,0
SE Corner,TarSWAction,-279200
<<<<<END>>>>>,4
Middle,WanderNEAction,0
Middle,WanderNWAction,0
Middle,WanderSEAction,0
Middle,WanderSWAction,0
Middle,AttackNEAction,0
Middle,AttackNWAction,0
Middle,AttackSEAction,0
Middle,AttackSWAction,0
Middle,TarNEAction,0
Middle,TarNWAction,0
Middle,TarSEAction,-276920
Middle,TarSWAction,-114800
NW Corner,WanderNEAction,0
NW Corner,WanderNWAction,0
NW Corner,WanderSEAction,0
NW Corner,WanderSWAction,0
NW Corner,AttackNEAction,0
NW Corner,AttackNWAction,0
NW Corner,AttackSEAction,0
NW Corner,AttackSWAction,0
NW Corner,TarNEAction,0
NW Corner,TarNWAction,0
NW Corner,TarSEAction,0
NW Corner,TarSWAction,0
NE Corner,WanderNEAction,0
NE Corner,WanderNWAction,0
NE Corner,WanderSEAction,0
NE Corner,WanderSWAction,0
NE Corner,AttackNEAction,0
NE Corner,AttackNWAction,0
NE Corner,AttackSEAction,0
NE Corner,AttackSWAction,0
